k,alpha,pred_alpha,accepted_per_round,tokens_per_round,pred_tokens_per_round,rounds,lossless
1,0.9692307692307692,0.9692307692307692,0.9692307692307692,1.9692307692307693,1.9692307692307702,65,True
2,0.9659090909090909,0.9543195266272189,1.9318181818181819,2.909090909090909,2.908639053254438,44,True
3,0.9797979797979798,0.9397141556668184,2.9393939393939394,3.878787878787879,3.819142467000454,33,True
4,0.9444444444444444,0.9254075977731873,3.7777777777777777,4.7407407407407405,4.701630391092748,27,True
5,0.9478260869565217,0.9113929681195174,4.739130434782608,5.565217391304348,5.556964840597586,23,True
6,0.956140350877193,0.8976635511734564,5.7368421052631575,6.7368421052631575,6.385981307040737,19,True
7,0.9495798319327731,0.8842127963594868,6.647058823529412,7.529411764705882,7.189489574516408,17,True
8,0.90625,0.8710343138356418,7.25,8.0,7.9682745106851325,16,True
