temperature,alpha_mean,alpha_std,tokens_per_round_mean,seeds
0.1,0.5462721763669907,0.12316862986392632,3.1451706515656404,8
0.15,0.3285955261936865,0.06294925749584941,2.2785263514317817,8
0.2,0.26639628208695576,0.03134071891625319,2.051723287343845,8
0.3,0.3422107498213412,0.049622513451287584,2.343268033813156,8
0.5,0.503173237046793,0.04498999147871656,2.9861883089097465,8
0.7,0.5987416929273662,0.04559391374359812,3.346816141753002,8
1.0,0.7169360657263883,0.04472673841905037,3.7865475026765347,8
1.5,0.8113213900862069,0.07575041122439206,4.198686371100164,8
2.0,0.8471986257277205,0.0634614286021716,4.355620241827138,8
3.0,0.8922869119326555,0.06105098259463328,4.487615960029753,8
4.0,0.9321026176090832,0.04569753279867914,4.621077007283904,8
